지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000008901,대학로,15.3
서울특별시 종로구,1000008902,대학로,15.9
서울특별시 종로구,1000009001,대학로,14.1
서울특별시 종로구,1000009002,대학로,15.8
서울특별시 종로구,1000009101,우정국로,14.2
서울특별시 종로구,1000009102,우정국로,17.5
서울특별시 종로구,1000009201,우정국로,12.1
서울특별시 종로구,1000009300,사직로8길,12.6
서울특별시 종로구,1000009400,사직로8길,11.2
서울특별시 종로구,1000009501,율곡로,9.7
서울특별시 종로구,1000009502,율곡로,28.5
서울특별시 종로구,1000009503,율곡로,31
서울특별시 종로구,1000009504,율곡로,25
서울특별시 종로구,1000009505,율곡로,21.4
서울특별시 종로구,1000009601,율곡로,19.2
서울특별시 종로구,1000009602,율곡로,30.2
서울특별시 종로구,1000009603,율곡로,19.3
서울특별시 종로구,1000009700,종로5길,8.2
서울특별시 종로구,1000009800,종로5길,12
서울특별시 종로구,1000009901,사직로8길,17.1
서울특별시 종로구,1000009902,사직로8길,29.2
서울특별시 종로구,1000009903,사직로8길,12.9
서울특별시 종로구,1000009904,사직로8길,15
서울특별시 종로구,1000010001,사직로8길,18.5
서울특별시 종로구,1000010002,사직로8길,30.6
서울특별시 종로구,1000010003,사직로8길,16.2
서울특별시 종로구,1000010004,사직로8길,14.1
서울특별시 종로구,1000010101,사직로8길,13.3
서울특별시 종로구,1000010102,사직로8길,16
서울특별시 종로구,1000010103,사직로8길,9.7
서울특별시 종로구,1000010201,사직로8길,13.6
서울특별시 종로구,1000010202,사직로8길,13.9
서울특별시 종로구,1000010203,사직로8길,9.3
서울특별시 종로구,1000010301,삼일대로,13.9
서울특별시 종로구,1000010302,삼일대로,12.7
서울특별시 종로구,1000010303,삼일대로,16.5
서울특별시 종로구,1000010401,삼일대로,15.1
서울특별시 종로구,1000010402,삼일대로,16
서울특별시 종로구,1000010403,삼일대로,12.8
서울특별시 종로구,1000010500,새문안로5길,15.2
서울특별시 종로구,1000010600,새문안로5길,12.6
서울특별시 종로구,1000010701,돈화문로,14.7
서울특별시 종로구,1000010702,돈화문로,24.2
서울특별시 종로구,1000010703,돈화문로,15.7
서울특별시 종로구,1000010801,돈화문로,17.2
서울특별시 종로구,1000010802,돈화문로,25.7
서울특별시 종로구,1000010803,돈화문로,17.6
서울특별시 종로구,1000010901,새문안로5가길,10
서울특별시 종로구,1000011001,새문안로5가길,12.1
서울특별시 종로구,1000011101,종로1길,12.4
서울특별시 종로구,1000011102,종로1길,19.1
서울특별시 종로구,1000011201,종로1길,11.9
서울특별시 종로구,1000011202,종로1길,21
